Order,ID_code,Country,Agency,Gear,Area,Long_deg,Long_min,Hemisphere,Lat_deg,Lat_min,Set_no,Month,Day,Year,Day_no,Dir_of_fish_movement,Species,Length_TSFT_mm,Whole_body_weight_grams,Scale_no,Freshwater_age,Ocean_age,Age_method,Sex,Egg_Testis_width_mm,Maturity,Stomach_volume,Fish,Squid,Mollusc,Crustaceans,Amphipod,Copepod,Euphausid,Decapod,Mysids,Unidentified,Digested,Bait,Injury,Exam_location
1,1980FRIG001,USA,FRI,Longline,E6544,167,30,E,45,50,G001,6,16,1980,168,,Chum,560,,B01,0,2,Scale,Female,10.0,Mature,,,,,,,,,,,,,,,Vessel_fresh
2,1980FRIG001,USA,FRI,Longline,E6544,167,30,E,45,50,G001,6,16,1980,168,,Sockeye,520,,B02,2,2,Scale,Male,15.0,Immature,,,,,,,,,,,,,,Jaw_wound_from_hook,Vessel_fresh
3,1980FRIG005,USA,FRI,Purse-seine,E6544,168,5,E,45,45,G005,6,18,1980,170,Round_haul,Chum,555,,B01,0,3,Scale,Male,4.0,Mature,,,,,,,,,,,,,,,Vessel_fresh
4,1980FRIG005,USA,FRI,Purse-seine,E6544,168,5,E,45,45,G005,6,18,1980,170,Round_haul,Chum,585,,B02,0,3,Scale,Male,8.0,Mature,,,,,,,,,,,,,,,Vessel_fresh
5,1980FRIG005,USA,FRI,Purse-seine,E6544,168,5,E,45,45,G005,6,18,1980,170,Round_haul,Chum,580,,B03,0,3,Scale,Female,10.0,Mature,,,,,,,,,,,,,,,Vessel_fresh
6,1980FRIG005,USA,FRI,Purse-seine,E6544,168,5,E,45,45,G005,6,18,1980,170,Round_haul,Chum,585,,B04,0,4,Scale,Male,18.0,Mature,,,,,,,,,,,,,,,Vessel_fresh
7,1980FRIG008,USA,FRI,Purse-seine,E6544,169,14,E,45,26,G008,6,21,1980,173,Round_haul,Chum,300,,B01,,1,Length,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
8,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,330,,B01,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
9,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,325,,B02,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
10,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,325,,B03,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
11,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,315,,B04,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
12,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,305,,B,,1,Length,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
13,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,315,,B06,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
14,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,320,,B07,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
15,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,300,,B08,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
16,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,300,,B09,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
17,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,305,,B10,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
18,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,330,,B11,,1,Length,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
19,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,320,,B12,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
20,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,320,,B13,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
21,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,335,,B14,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
22,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,320,,B15,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
23,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,325,,B16,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
24,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,320,,B17,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
25,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,335,,B18,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
26,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Pink,430,,B19,0,1,Scale,,,Mature,,,,,,,,,,,,,,,Vessel_fresh
27,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,330,,B20,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
28,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,315,,B21,,1,Length,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
29,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,325,,B22,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
30,1980FRIG009,USA,FRI,Purse-seine,E6544,169,16,E,45,19,G009,6,21,1980,173,Northwest,Chum,320,,B23,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
